Product ID,Name,Price,Description,SKU,Primary Category,Secondary Category,Creation Time,Creator ID,Last Modified Time,Last Modified By ID
PID0000,Capital,482.86,Can certainly hundred.,bRy-4022351,Activity,Interest,2020/10/8 3:07,41,2023/7/21 22:51,81
PID0001,Statement,306.62,Hit staff animal big.,XYm-7745313,Win,Discover,2023/8/23 9:27,30,2021/9/7 20:51,34
PID0002,Author,58.29,Chance natural campaign attention senior trip.,kHG-0913438,Must,Personal,2020/4/13 15:58,74,2023/10/17 8:59,30
PID0003,Heart,55.38,Oil suggest prevent responsibility.,jiW-1430932,Yard,Stage,2022/7/25 15:01,38,2022/5/8 10:25,81
PID0004,Water,194.14,How no deep oil imagine rise all.,HTg-6318120,Fear,Thank,2022/11/8 16:23,24,2023/3/18 10:22,6
PID0005,Forward,469.89,Hospital visit or community several than.,dOR-6770675,My,Cultural,2020/12/31 14:28,90,2021/9/27 16:50,74
PID0006,Toward,41.86,And week level job democratic machine help.,mlg-2014815,Option,White,2023/9/4 17:06,75,2022/9/24 1:47,2
PID0007,Finally,297.02,Single option raise security point rather.,IOh-4326587,Finish,Street,2022/4/3 18:56,24,2022/3/6 9:11,74
PID0008,New,390.79,Clear detail collection near base five.,vkF-1067303,Tonight,Western,2020/6/4 16:55,84,2020/2/1 21:06,39
PID0009,Air,332.81,Republican that dinner media.,mDo-3728496,Prevent,Rest,2022/7/9 6:14,78,2021/11/4 5:03,63
PID0010,Person,358.15,Same mention dinner see Republican.,Jnl-1923342,Tv,Control,2023/9/7 13:08,58,2020/3/22 12:29,8
PID0011,Get,389.26,Apply book drug here second.,cHi-3153232,In,Arm,2022/7/21 15:24,11,2020/5/13 9:16,4
PID0012,Say,272.51,Man deal age board true.,wLk-0550261,Until,Experience,2021/4/23 7:07,1,2022/4/15 13:09,52
PID0013,Song,72.89,Much reduce middle debate skin property grow.,cOs-5832936,Thousand,Give,2021/2/17 3:24,45,2022/10/4 20:43,32
PID0014,Stuff,76.51,Scientist lead PM.,VjF-9288362,Tonight,Part,2022/6/20 7:59,47,2023/9/5 8:41,2
PID0015,Ago,310.77,Up end car certainly.,TGA-9163017,Term,Both,2021/8/26 21:37,100,2020/4/29 22:13,57
PID0016,Control,214.87,Fly practice at book stand.,DQi-1782003,Yet,Window,2021/7/7 7:01,81,2021/11/16 7:45,98
PID0017,Lot,464.14,Somebody maybe movie truth of.,mjp-0975026,Picture,Bill,2023/11/14 0:51,38,2021/7/31 10:16,62
