Modification ID,Product ID,Creation Time,Creator ID,Last Modified Time,Last Modified By ID
1,PID0000,2020/10/8 3:07,41,2023/7/21 22:51,81
2,PID0001,2023/8/23 9:27,30,2021/9/7 20:51,34
3,PID0002,2020/4/13 15:58,74,2023/10/17 8:59,30
4,PID0003,2022/7/25 15:01,38,2022/5/8 10:25,81
5,PID0004,2022/11/8 16:23,24,2023/3/18 10:22,6
6,PID0005,2020/12/31 14:28,90,2021/9/27 16:50,74
7,PID0006,2023/9/4 17:06,75,2022/9/24 1:47,2
8,PID0007,2022/4/3 18:56,24,2022/3/6 9:11,74
9,PID0008,2020/6/4 16:55,84,2020/2/1 21:06,39
10,PID0009,2022/7/9 6:14,78,2021/11/4 5:03,63
11,PID0010,2023/9/7 13:08,58,2020/3/22 12:29,8
12,PID0011,2022/7/21 15:24,11,2020/5/13 9:16,4
13,PID0012,2021/4/23 7:07,1,2022/4/15 13:09,52
14,PID0013,2021/2/17 3:24,45,2022/10/4 20:43,32
15,PID0014,2022/6/20 7:59,47,2023/9/5 8:41,2
16,PID0015,2021/8/26 21:37,100,2020/4/29 22:13,57
17,PID0016,2021/7/7 7:01,81,2021/11/16 7:45,98
18,PID0017,2023/11/14 0:51,38,2021/7/31 10:16,62
19,PID0018,2022/1/18 21:01,25,2020/12/18 3:17,53
20,PID0019,2020/11/9 22:36,53,2023/4/30 12:39,83
21,PID0020,2021/1/29 10:46,62,2021/1/30 18:43,41
22,PID0021,2020/4/13 16:12,94,2020/1/23 7:34,89
23,PID0022,2020/6/25 10:37,51,2020/4/9 14:09,40
24,PID0023,2020/3/8 20:31,2,2021/5/12 2:11,57
25,PID0024,2020/4/4 17:27,19,2021/6/4 23:40,85
26,PID0025,2022/3/1 6:59,42,2021/7/9 5:26,68
27,PID0026,2020/5/11 7:54,37,2022/9/21 2:36,74
28,PID0027,2023/10/5 4:05,3,2021/1/15 6:02,61
29,PID0028,2022/11/1 3:46,6,2020/3/4 20:27,76
30,PID0029,2021/11/3 18:40,35,2022/1/6 14:39,81
31,PID0030,2023/6/19 8:45,12,2021/5/30 16:54,19
32,PID0031,2022/1/11 13:44,47,2021/1/23 17:43,95
33,PID0032,2023/1/7 5:49,20,2022/5/30 11:42,69
34,PID0033,2021/3/3 3:11,96,2022/8/18 14:42,89
35,PID0034,2021/12/20 22:27,35,2020/9/19 17:21,79
36,PID0035,2022/3/20 10:52,38,2021/10/26 22:56,10
37,PID0036,2023/4/23 8:56,27,2023/9/17 12:16,34
38,PID0037,2020/1/1 13:37,14,2023/5/17 15:34,43
39,PID0038,2021/11/23 16:40,66,2023/12/13 9:41,44
40,PID0039,2022/3/7 13:03,49,2023/2/7 22:47,65
41,PID0040,2023/11/13 10:50,29,2021/6/21 8:58,12
42,PID0041,2023/9/18 20:02,10,2023/12/20 2:43,77
43,PID0042,2023/7/3 14:49,92,2021/5/28 10:00,49
44,PID0043,2023/10/9 12:59,85,2023/7/9 23:06,74
45,PID0044,2023/11/24 17:58,38,2021/2/18 8:18,81
46,PID0045,2023/5/16 7:33,33,2022/11/21 13:19,78
47,PID0046,2021/9/15 3:09,49,2022/3/9 19:04,92
48,PID0047,2023/7/9 11:53,14,2020/5/6 0:26,36
